total_rooms,population,median_income,median_house_value
880,322,8.3252,452600
7099,2401,8.3014,358500
1467,496,7.2574,352100
1274,558,5.6431,341300
1627,565,3.8462,342200
919,413,4.0368,269700
2535,1094,3.6591,299200
3104,1157,3.12,241400
2555,1206,2.0804,226700
3549,1551,3.6912,261100
2202,910,3.2031,281500
3503,1504,3.2705,241800
2491,1098,3.075,213500
696,345,2.6736,191300
2643,1212,1.9167,159200
1120,697,2.125,140000
1966,793,2.775,152500
1228,648,2.1202,155500
2239,990,1.9911,158700
1503,690,2.6033,162900
751,409,1.3578,147500
1639,929,1.7135,159800
2436,1015,1.725,113900
1688,853,2.1806,99700
2224,1006,2.6,132600
535,317,2.4038,107500
1130,607,2.4597,93800
1898,1102,1.808,105500
2082,1131,1.6424,108900
729,395,1.6875,132000
1916,863,1.9274,122300
2153,1168,1.9615,115200
1922,1026,1.7969,110400
1655,754,1.375,104900
2665,1258,2.7303,109700
1215,570,1.4861,97200
1798,987,1.0972,104500
1511,901,1.4103,103900
1470,689,3.48,191400
2432,1377,2.5898,176000
1665,946,2.0978,155400
936,517,1.2852,150000
713,462,1.025,118800
950,467,3.9643,188800
1443,660,3.0125,184400
1656,718,2.6768,182300
1125,616,2.026,142500
1007,558,1.7348,137500
624,423,0.9506,187500
946,700,1.775,112500
896,735,0.9218,171900
1868,1061,1.5045,93800
3221,1959,1.1108,97500
1630,1162,1.2475,104200
1170,701,1.6098,87500
945,576,1.4113,83100
1238,622,1.5057,87500
1489,728,0.8172,85300
1387,1074,1.2171,80300
158,94,2.5625,60000
1121,554,3.3929,75700
135,86,6.1183,75000
760,377,0.9011,86100
1224,521,1.191,76100
828,392,2.5938,73500
1010,604,1.1667,78400
1455,788,0.8056,84400
1027,492,2.6094,81300
572,274,1.8516,85000
2801,1823,0.9802,129200
768,392,1.7719,82500
935,582,0.7286,95200
844,560,1.75,75000
12,18,0.4999,67500
835,290,2.483,137500
1237,762,0.9241,177500
2914,1236,2.4464,102100
1207,721,1.1111,108300
1745,1054,0.8026,112500
684,344,2.0114,131300
924,609,1.5,162500
210,183,1.1667,112500
340,200,1.5208,112500
386,346,0.8075,137500
948,467,1.8088,118800
773,377,2.4083,98200
880,582,0.977,118800
875,546,0.76,162500
105,125,0.9722,137500
249,396,1.2434,500001
994,800,2.0938,162500
215,904,0.8668,137500
96,191,0.75,162500
1055,718,2.6354,187500
1715,1327,1.8477,179200
5329,3469,2.0096,130000
4596,2048,2.8345,183800
335,202,2.0062,125000
3682,2024,1.2185,170000
3633,1838,2.6104,193100
4656,2304,2.4912,257800
5806,2563,3.2177,273400
854,389,3.125,237500
2155,895,2.5795,350000
5871,2689,2.8406,335700
1509,674,4.9306,313400
2026,709,3.2727,268500
1758,686,3.1691,259400
3481,1444,3.9,275700
3337,1520,3.9063,225000
1424,550,5.0917,262500
3809,1806,2.6429,218500
3959,1749,3.0233,255000
2376,939,3.1484,224100
1613,675,3.4722,243100
1279,534,3.1429,231600
5022,2558,2.4234,218500
4190,1786,3.0897,234100
2515,970,5.8596,327600
3175,1098,5.2868,347600
2576,794,5.956,366100
334,98,4.9643,335000
2800,1061,6.3434,373600
3529,1177,5.1773,389500
2612,901,7.2354,391100
5287,2031,5.457,337300
2935,1031,7.5,295200
3424,1358,6.0194,292300
4991,1616,7.5544,411500
2211,844,6.0666,311500
3038,1140,7.0548,325900
1617,533,11.6017,392600
2865,1072,7.4882,319300
5065,1627,6.8976,333300
1326,463,8.2049,335200
1589,542,8.401,351200
1791,661,6.8538,368900
1835,635,8.317,365900
1229,420,7.0175,366700
3770,1265,6.3302,362800
292,126,6.3624,483300
2375,813,7.0549,331400
2964,1067,6.7851,323500
2833,1260,2.8929,216700
2254,951,3.0812,233100
1389,510,5.2402,296400
1971,765,6.5217,273700
2183,1129,3.2632,227700
2286,1073,3.0298,199600
2721,1185,4.5428,239800
2024,756,4.072,270100
2944,1034,5.3509,302100
2033,787,3.1603,269500
1433,612,4.7708,314700
2927,1021,8.1564,390100
2315,861,8.8793,410300
2485,953,6.8591,352400
1490,634,6.0302,287300
2814,878,7.508,348700
2093,918,2.7477,243800
888,360,2.1944,211500
2087,1197,3.0149,218400
2513,1048,3.675,269900
3232,1373,3.225,218800
4120,1715,2.9345,225000
2364,1359,2.1429,250000
1471,1062,1.6121,171400
2468,1335,1.3929,193800
1632,1171,2.3173,125000
1786,1475,1.7772,97500
629,742,2.6458,125000
1339,1086,2.181,138800
1678,1645,2.2303,116700
2344,1710,1.6504,151800
996,731,2.2697,127000
1591,1118,2.1563,128600
1586,1006,2.1348,140600
2046,1213,2.6292,182700
1192,772,2.3833,146900
1803,1321,2.957,122800
2838,1487,2.5238,169300
783,488,1.9375,126600
1590,949,1.9028,127900
1746,1149,2.25,123500
1252,844,2.3929,111900
5963,4367,2.1917,112800
1783,1659,2.9357,107900
999,1011,1.8854,137500
1469,1464,2.1638,105500
1372,1237,2.125,95500
674,647,3.375,116100
1626,1284,2.2542,112200
175,228,2.1,75000
461,381,1.6,112500
902,846,3.625,125000
2373,1659,1.6929,115000
391,520,1.6471,95000
1137,866,2.59,96400
769,612,2.57,72000
472,415,2.6429,71300
862,994,3.0257,80800
1920,1525,1.4886,128800
1420,1506,1.9338,112500
986,1008,1.4844,119400
2340,2813,1.6009,118100
1696,1481,2.0375,122500
1175,859,2.293,106300
2343,1608,2.1494,132500
610,425,1.6198,122700
930,564,1.3281,113300
1487,961,3.5156,109500
3424,2273,3.9048,164700
762,600,3.0893,125000
2366,1647,2.6042,124700
1826,1201,2.5,136700
3049,2167,2.7969,141700
1640,939,2.8321,150000
1543,859,2.9583,138800
2364,1517,2.8365,139200
1745,1143,2.875,143800
2003,1109,3.0682,156500
2018,1221,3.0757,151000
3045,1115,4.9559,273000
1547,706,4.7721,217100
3519,1883,3.4861,187100
2070,804,5.1184,239600
1321,506,4.0977,229700
1694,610,4.744,257300
1938,768,4.2727,246900
968,462,2.9844,179900
1060,667,4.1739,169600
2041,1059,3.8487,203300
1813,637,4.0114,263400
2718,1106,4.6563,231800
3144,1737,2.9297,140500
1802,1009,2.3036,126000
882,737,2.6667,122000
1621,1354,2.619,134700
2115,1530,2.4167,139400
2021,1410,2.7788,115400
2239,1390,2.7352,137300
1477,1065,1.8472,137000
1056,792,2.6583,142600
898,779,3.0536,137500
2968,2269,2.3906,111700
1702,1227,1.7188,126800
881,753,2.625,111300
494,547,2.8015,114800
1776,1807,1.7276,102300
1678,1700,2.0801,131900
1637,1543,2.489,119100
1420,1085,1.7546,80600
591,353,4.0904,80600
745,473,2.6765,88800
2272,1621,2.4338,102400
1234,1183,2.3309,98700
1017,836,2.2604,100000
932,900,1.8039,92300
2689,1888,2.2562,94800
1547,1024,2.0562,102000
2300,1225,3.5398,158400
1752,1071,3.1167,121600
1867,1128,2.5401,129100
2430,1537,2.898,121400
1729,1240,2.3125,102800
1026,469,2.875,160000
2170,1086,3.3715,143900
2329,1144,3.5114,151200
2492,1109,4.3125,164400
2198,984,3.22,156500
142,575,3.875,225000
1183,496,5.2328,174200
1070,555,3.7262,166900
1766,869,4.5893,163500
617,236,5.2578,253000
1411,626,7.0875,240700
2109,922,3.9712,208100
1229,582,2.9514,198100
954,546,2.6667,172800
1643,620,5.4446,336700
1355,442,6.2838,318200
2317,955,6.7527,285800
2459,916,7.0712,293000
12842,4985,5.9849,371000
1524,651,3.6875,157300
3326,1704,2.875,135300
1985,1085,3.4205,136700
1642,713,3.2984,160700
893,468,3.875,140600
653,296,4.175,144000
1256,570,4.375,161900
977,446,4.7708,156300
2324,968,3.5739,176000
1583,857,3.0958,145800
1612,912,3.3958,141900
2424,1360,1.871,90700
1594,1074,1.9356,90600
2118,965,2.1842,107900
1575,933,2.2917,107000
1764,987,2.4333,98200
1187,907,1.9479,89500
754,447,3.9063,93800
2308,1299,1.8407,96700
909,396,2.0786,97500
1180,877,2.8125,97300
2018,1111,1.8913,91200
1368,790,1.7056,91400
2744,1479,2.2768,96200
2107,1173,3.2552,120100
1748,1029,2.0556,100000
2024,1030,2.4659,94700
1116,826,1.75,85700
2036,1412,2.0469,89300
1852,1132,2.7159,101400
921,522,1.2083,72500
995,630,1.925,74100
606,531,1.5809,70000
2680,1925,1.4097,84600
1493,1144,0.7683,81800
2207,1481,1.3194,81400
856,435,0.8012,81800
1293,984,1.9479,85800
